,name,category,latitude,longitude,rating,reviews,photo,street_view
393,Pasar Batu Bulan Senggol,Night market,-8.631342800000002,115.2606582,4.3,1648.0,https://lh5.googleusercontent.com/p/AF1QipNTocrSVfMFQaIdVv0t8ACG0c2fc2YmQXuIDb2c=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNTocrSVfMFQaIdVv0t8ACG0c2fc2YmQXuIDb2c=w1600-h1000-k-no
394,Kreneng Market,Traditional market,-8.6554565,115.22497560000001,4.4,7261.0,https://lh5.googleusercontent.com/p/AF1QipPqQwUPUtYhQym18wCd-hQWljCxlalZ3wK1l6et=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPqQwUPUtYhQym18wCd-hQWljCxlalZ3wK1l6et=w1600-h1000-k-no
395,Pasar Anyar Singaraja,Market,-8.1076302,115.08906090000002,4.3,1129.0,https://lh5.googleusercontent.com/p/AF1QipPfSj7yefiEV79LnlBfoDGdXIXok4Q4pBlRykVc=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPfSj7yefiEV79LnlBfoDGdXIXok4Q4pBlRykVc=w1600-h1000-k-no
396,Spice Beach Bar,Bar,-8.164150999999999,115.02088,4.3,664.0,https://lh5.googleusercontent.com/p/AF1QipNo5Xmw3lTG9yrSHmBd-Y-KgVyWWyQSEjEwnlls=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNo5Xmw3lTG9yrSHmBd-Y-KgVyWWyQSEjEwnlls=w1600-h1000-k-no
397,The Flea Market,Market,-8.6859085,115.15618290000002,3.8,779.0,https://lh5.googleusercontent.com/p/AF1QipM2HVOEwmo_eqrNhdOVmlCUGXuLiOVrPmyhoUfy=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM2HVOEwmo_eqrNhdOVmlCUGXuLiOVrPmyhoUfy=w1600-h1000-k-no
398,Pasar Sindu,Market,-8.685235,115.25999579999998,4.4,2476.0,https://lh5.googleusercontent.com/p/AF1QipNuypLM69smKzUYb7Xrn9rjtNryomosfH3vw7Vq=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNuypLM69smKzUYb7Xrn9rjtNryomosfH3vw7Vq=w1600-h1000-k-no
399,Pasar Tradisional Sayan,Traditional market,-8.5197923,115.24000420000002,4.4,495.0,https://lh5.googleusercontent.com/p/AF1QipML0L-ckxS5nyAaAV4OgrbztgIYHmzhKxszvCvM=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipML0L-ckxS5nyAaAV4OgrbztgIYHmzhKxszvCvM=w1600-h1000-k-no
400,Art Market Kumbasari,Market,-8.6558956,115.2117719,4.4,3252.0,https://lh5.googleusercontent.com/p/AF1QipNVBxOleKBiEOO3aQNKc-m-YE4E9CJyVgq4C1AG=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNVBxOleKBiEOO3aQNKc-m-YE4E9CJyVgq4C1AG=w1600-h1000-k-no
401,Pasar Banyuasri,Produce market,-8.1152695,115.07870249999999,4.4,668.0,https://lh5.googleusercontent.com/p/AF1QipMbcpW4mrtiY-8Y9ttiWngpR_syto8BWcu-7P9B=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMbcpW4mrtiY-8Y9ttiWngpR_syto8BWcu-7P9B=w1600-h1000-k-no
402,Seminyak markets,Tourist attraction,-8.685861099999999,115.1562261,3.7,34.0,https://lh5.googleusercontent.com/p/AF1QipOK9TnLZkJR2ejuY9XUTZBAF_Ip5qGWzxYUhvHU=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOK9TnLZkJR2ejuY9XUTZBAF_Ip5qGWzxYUhvHU=w1600-h1000-k-no
403,Santhi Bar,Bar & grill,-8.1612247,115.0246882,4.2,124.0,https://lh5.googleusercontent.com/p/AF1QipMeTeAQ5055bAvfbMOGjPLxAbhiXcWANqYOw0s=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMeTeAQ5055bAvfbMOGjPLxAbhiXcWANqYOw0s=w1600-h1000-k-no
404,Taman Sari Market,Traditional market,-8.6721826,115.1651845,4.5,568.0,https://lh5.googleusercontent.com/p/AF1QipMVY13f0P-QU4mMQvsVVs6ULJkrtxhsv7uS7VYg=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMVY13f0P-QU4mMQvsVVs6ULJkrtxhsv7uS7VYg=w1600-h1000-k-no
405,Badung Market,Traditional market,-8.6565343,115.2124193,4.5,15573.0,https://lh5.googleusercontent.com/p/AF1QipO6GI0Rh4xWn6kWKpAWJd4EOHbLcbwrNG44WEuo=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO6GI0Rh4xWn6kWKpAWJd4EOHbLcbwrNG44WEuo=w1600-h1000-k-no
406,Pondok Wisata Grya Sari Hotel,Hotel,-8.2088847,114.965623,4.0,59.0,https://lh5.googleusercontent.com/p/AF1QipO9_NMVjOMQhiVRw1okgZkjBwIMGJxWlWbcfj3A=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO9_NMVjOMQhiVRw1okgZkjBwIMGJxWlWbcfj3A=w1600-h1000-k-no
407,Sukawati Art Market,Clothing wholesale market place,-8.596530699999999,115.28260549999999,4.3,8139.0,https://lh5.googleusercontent.com/p/AF1QipMknY6ubGT5Ky5AtVqMBL4i_gvY4NumHf7sh7ZJ=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMknY6ubGT5Ky5AtVqMBL4i_gvY4NumHf7sh7ZJ=w1600-h1000-k-no
408,Pasar Senggol Sukawati,Market,-8.5931016,115.28281840000001,4.4,32.0,https://lh5.googleusercontent.com/p/AF1QipNtj6KDnUYsbR5WlGNUxmtX34pwki32wA6gAArg=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNtj6KDnUYsbR5WlGNUxmtX34pwki32wA6gAArg=w1600-h1000-k-no
